"STEP","DESCRIPTION","REALISTIC FAB‑LEVEL PARAMETERS"
"RECEIVE WAFER LOT","Receive the incoming wafer lot","200 mm Si <100>, p‑type, 10–20 Ω·cm, thickness 725 µm ±10 µm, lot size 25"
"LOT IDENTIFICATION","Verify IDs and lot data","MES scan, FOUP ID verification"
"INITIAL WAFER INSPECTION","Visual defect inspection","Optical inspection 200×, particle threshold ≥0.3 µm"
"MEASURE THICKNESS","Measure wafer thickness","Capacitive gauge, 725 µm ±10 µm"
"MEASURE SURFACE PARTICLES","Particle scan","Laser scatter tool, <30 particles ≥0.2 µm"
"PRE CLEAN WAFER","Pre‑clean","Megasonic DI clean 1 MHz, 2 min"
"RCA CLEAN 1","Organic clean","NH₄OH:H₂O₂:H₂O (1:1:5), 75 °C, 10 min"
"RCA CLEAN 2","Metal clean","HCl:H₂O₂:H₂O (1:1:6), 75 °C, 10 min"
"HF DIP","Native oxide removal","HF 0.5–1%, 30 s"
"DRY WAFER","Wafer dry","Spin rinse dryer 1500 rpm, N₂ dry 60 s"
"SUBSTRATE CHECK","Substrate verification","Orientation <100> ±0.5°, resistivity via 4‑point probe"
"EPITAXY PREP","Surface preparation","HF last clean 0.5% 20 s"
"EPITAXIAL DEPOSITION","Grow epi Si layer","RPCVD reactor; SiHCl₃ 20 sccm, H₂ 10 slm; 1050 °C; pressure 40 Torr; growth ~1 µm"
"MEASURE EPITAXY THICKNESS","Thickness measurement","Spectral reflectometry; target 1.0 µm ±3%"
"MEASURE RESISTIVITY","Resistivity measurement","4‑point probe; target 8–15 Ω·cm"
"EPITAXY ANNEAL","Crystal defect reduction","Furnace 1050 °C N₂ 30 min"
"WAFER SURFACE CLEAN","Surface clean","SC1 clean 75 °C"
"THERMAL OXIDATION","Oxide growth","Dry O₂ furnace; 1000 °C; O₂ 5 slm; thickness 50 nm"
"MEASURE OXIDE THICKNESS","Oxide metrology","Ellipsometry ±2 nm"
"SPIN COAT PHOTORESIST","Coat resist","Track system; 3000 rpm 30 s; thickness 1.2 µm"
"SOFT BAKE","Resist bake","Hotplate 95 °C 60 s"
"ALIGN MASK LEVEL 1","Litho alignment","i‑line stepper; overlay ±100 nm"
"EXPOSE LITHO LEVEL 1","Exposure","Dose 120 mJ/cm²"
"DEVELOP PHOTORESIST","Resist develop","0.26 N TMAH 60 s"
"PATTERN INSPECTION LEVEL 1","Pattern inspection","CD‑SEM; CD ~350 nm"
"OXIDE ETCH","Oxide etch","RIE CHF₃ 40 sccm, CF₄ 20 sccm, O₂ 5 sccm; 80 mTorr; RF 300 W"
"STRIP PHOTORESIST","Resist strip","O₂ plasma ash 400 W 5 min"
"CLEAN AFTER ETCH","Post‑etch clean","H₂SO₄:H₂O₂ (3:1) 120 °C 10 min"
"MEASURE OPENING CD","CD measurement","CD‑SEM ±10 nm"
"IMPLANT WELL","Well implant","Boron; 150 keV; dose 2×10¹³ cm⁻²; tilt 7°"
"PRE ANNEAL CHECK","Inspection","Particle scan"
"DRIVE IN DIFFUSION","Dopant drive‑in","Furnace 1100 °C N₂ 60 min"
"RAPID THERMAL ANNEAL","Dopant activation","RTA 1050 °C 10 s"
"MEASURE JUNCTION DEPTH","Junction measurement","SIMS target ~1.2 µm"
"THERMAL OXIDATION","Additional oxide growth","Wet oxidation 950 °C H₂O vapor; thickness 100 nm"
"GATE OXIDE PREP","Gate surface prep","HF last clean 0.5% 20 s"
"GATE OXIDE GROWTH","Gate oxide","Dry O₂ furnace 900 °C; thickness 6–8 nm"
