"STEP","DESCRIPTION"
"RECEIVE WAFER LOT","Receive the incoming wafer lot and verify lot ID, product type, and route version."
"LOT IDENTIFICATION","Confirm wafer count, traveler information, and manufacturing order consistency."
"INITIAL WAFER INSPECTION","Inspect wafers for visible defects, handling damage, contamination, and edge chips."
"MEASURE THICKNESS","Measure incoming wafer thickness at center and edge points."
"MEASURE SURFACE PARTICLES","Perform particle scan to assess surface cleanliness before processing."
"PRE CLEAN WAFER","Remove loose particles and residues prior to wet processing."
"RCA CLEAN 1","Apply alkaline clean to remove organic contamination; monitor temperature and time."
"RCA CLEAN 2","Apply acidic clean to remove metallic residues and remaining contamination."
"HF DIP","Remove native oxide with dilute HF and prepare a clean silicon surface."
"DRY WAFER","Dry wafers using spin-rinse-dry or nitrogen drying."
"SUBSTRATE CHECK","Verify substrate orientation, resistivity, and starting material specification."
"EPITAXY PREP","Prepare substrate surface for epitaxial growth with a final pre-clean."
"EPITAXIAL DEPOSITION","Grow the epitaxial silicon layer; control temperature, gas flow, and deposition rate."
"MEASURE EPITAXY THICKNESS","Measure epitaxial layer thickness and uniformity across the wafer."
"MEASURE RESISTIVITY","Measure resistivity or sheet resistance to confirm layer properties."
"EPITAXY ANNEAL","Anneal the epitaxial layer to improve crystal quality and reduce defects."
"THERMAL OXIDATION","Grow a thin oxide layer for masking or interface preparation."
"MEASURE OXIDE THICKNESS","Measure oxide thickness and uniformity by metrology."
"SPIN COAT PHOTORESIST","Coat photoresist; track spin speed, thickness, and coating quality."
"SOFT BAKE","Remove solvent from the resist film and stabilize it for exposure."
"ALIGN MASK LEVEL 1","Align the first mask for junction or window formation."
"EXPOSE LITHO LEVEL 1","Expose the resist using the first mask; record dose and focus."
"DEVELOP PHOTORESIST","Develop exposed resist to define the first pattern."
"PATTERN INSPECTION LEVEL 1","Inspect pattern fidelity, overlay, and defect density."
"OXIDE ETCH","Etch oxide in opened regions to create the required windows."
"STRIP PHOTORESIST","Remove resist after etch."
"CLEAN AFTER ETCH","Clean residues and particles after the first etch step."
"MEASURE OPENING CD","Measure critical dimension of the etched openings."
"IMPLANT P BODY","Implant p-type body region with controlled dose and energy."
"PRE ANNEAL CHECK","Verify wafer state before thermal activation."
"DRIVE IN DIFFUSION","Drive dopants deeper into the substrate using a thermal cycle."
"RAPID THERMAL ANNEAL","Activate dopants and repair implant-induced damage."
"MEASURE JUNCTION DEPTH","Measure junction depth and profile to confirm implant result."
"IMPLANT N BUFFER","Implant n-type buffer or field region for voltage support."
"PRE ANNEAL CHECK","Confirm surface condition before the next anneal."
"RAPID THERMAL ANNEAL","Activate buffer implant and stabilize the junction profile."
"MEASURE SHEET RESISTANCE","Measure sheet resistance of the implanted regions."
"DEPOSIT FIELD OXIDE","Deposit field oxide or dielectric for isolation and masking."
"DENSIFY OXIDE","Densify the oxide to improve film stability and quality."
"MEASURE FILM THICKNESS","Measure dielectric thickness and uniformity."
"SPIN COAT PHOTORESIST","Coat resist for the next patterning step."
"SOFT BAKE","Stabilize the resist film before exposure."
"ALIGN MASK LEVEL 2","Align second mask for active area or contact definition."
