"STEP","DESCRIPTION","REALISTIC FAB‑LEVEL PARAMETERS"
"RECEIVE WAFER LOT","Receive the incoming wafer lot","200 mm Si, p-type <100>, 725 µm ±10 µm, resistivity 10–20 Ω·cm, lot size 25"
"LOT IDENTIFICATION","Check wafer count and IDs","FOUP ID scan, MES verification, carrier mapping"
"INITIAL WAFER INSPECTION","Visual defect inspection","KLA optical scan, sensitivity 0.3 µm"
"MEASURE THICKNESS","Measure wafer thickness","Capacitive gauge; 725 µm ±10 µm"
"MEASURE SURFACE PARTICLES","Particle scan","Surfscan SP2; threshold ≥0.2 µm"
"PRE CLEAN WAFER","Remove loose particles","Megasonic DI clean, 1 MHz, 2 min"
"RCA CLEAN 1","Organic clean","NH₄OH:H₂O₂:H₂O (1:1:5), 75 °C, 10 min, overflow DI rinse"
"RCA CLEAN 2","Metallic clean","HCl:H₂O₂:H₂O (1:1:6), 75 °C, 10 min"
"HF DIP","Remove native oxide","0.5–1% HF, 30 s, single-wafer spin processor"
"DRY WAFER","Dry wafers","Spin-rinse-dryer 1500 rpm, N₂ dry 60 s"
"SUBSTRATE CHECK","Verify substrate parameters","Orientation <100> ±0.5°, resistivity via 4‑point probe"
"THERMAL OXIDATION","Grow SiO₂","Horizontal furnace, dry O₂ 5 slm, 1000 °C, 30 min, pressure 1 atm"
"MEASURE OXIDE THICKNESS","Oxide metrology","Spectroscopic ellipsometer; target 50 nm ±2 nm"
"SPIN COAT PHOTORESIST","Apply resist","TEL track; spin 3000 rpm 30 s; resist thickness ~1.2 µm"
"SOFT BAKE","Remove solvent","Hotplate 95 °C, 60 s"
"ALIGN MASK LEVEL 1","Litho alignment","i‑line stepper (365 nm), alignment accuracy ±100 nm"
"EXPOSE LITHO LEVEL 1","Pattern exposure","Dose 120 mJ/cm², NA 0.5"
"DEVELOP PHOTORESIST","Develop resist","0.26 N TMAH puddle develop, 60 s"
"PATTERN INSPECTION LEVEL 1","CD inspection","CD‑SEM; CD target ~350 nm"
"OXIDE ETCH","Etch oxide","RIE: CHF₃ 40 sccm, CF₄ 20 sccm, O₂ 5 sccm; pressure 80 mTorr; RF 300 W; rate ~100 nm/min"
"STRIP PHOTORESIST","Resist removal","Downstream O₂ plasma; 400 W, 200 mTorr, 5 min"
"CLEAN AFTER ETCH","Remove residues","SPM clean (H₂SO₄:H₂O₂ 3:1), 120 °C, 10 min"
"MEASURE OPENING CD","CD measurement","CD‑SEM ±10 nm repeatability"
"IMPLANT WELL","Well implant","Ion implanter; Boron; energy 150 keV; dose 2×10¹³ cm⁻²; tilt 7°; beam current ~1 mA"
"PRE ANNEAL CHECK","Pre-anneal inspection","KLA particle scan"
"DRIVE IN DIFFUSION","Dopant drive-in","Furnace 1100 °C, N₂ 10 slm, 60 min"
"RAPID THERMAL ANNEAL","Dopant activation","RTA lamp system; 1050 °C, ramp 100 °C/s, hold 10 s"
"MEASURE JUNCTION DEPTH","Junction metrology","SIMS + spreading resistance; target ~1.2 µm"
"GATE OXIDE PREP","Final surface clean","HF last clean 0.5%, 20 s"
"GATE OXIDE GROWTH","Gate oxide","Dry O₂ furnace; 900 °C; O₂ 3 slm; target 7 nm"
"MEASURE GATE OXIDE THICKNESS","Gate oxide metrology","Ellipsometry ±0.2 nm"
"DEPOSIT POLYSILICON","Poly deposition","LPCVD: SiH₄ 200 sccm; pressure 300 mTorr; temp 620 °C; thickness 200 nm"
"POLYSILICON ANNEAL","Stress reduction","Furnace anneal 900 °C, N₂ 30 min"
"MEASURE POLY THICKNESS","Poly metrology","Spectral reflectometry ±3%"
"SPIN COAT PHOTORESIST","Coat resist","Spin 3000 rpm; thickness ~1.2 µm"
"SOFT BAKE","Bake resist","95 °C, 60 s"
"ALIGN MASK LEVEL 2","Gate alignment","Stepper overlay ±80 nm"
"EXPOSE LITHO LEVEL 2","Gate exposure","Dose 110 mJ/cm²"
"DEVELOP PHOTORESIST","Develop","0.26 N TMAH 60 s"
"POLY PATTERN INSPECTION","Inspect gates","CD‑SEM target ~180 nm"
"POLYSILICON ETCH","Poly etch","ICP RIE: HBr 80 sccm, Cl₂ 20 sccm, pressure 10 mTorr, ICP 800 W, bias 100 W"
"STRIP RESIST","Resist strip","O₂ plasma 400 W"
"CLEAN AFTER POLY ETCH","Residue clean","Dilute HF 50:1, 30 s"
"MEASURE GATE CD","Gate CD measurement","CD‑SEM ±5 nm"
"IMPLANT SOURCE DRAIN","S/D implant","Arsenic; 40 keV; dose 5×10¹⁵ cm⁻²; tilt 7°"
"PRE ANNEAL CHECK","Inspection","Optical + particle check"
"LIGHT ANNEAL","Activation","RTA 1000 °C, 5 s"
"MEASURE SHEET RESISTANCE","Rs measurement","4‑point probe; target 30–60 Ω/□"
"DEPOSIT SPACER DIELECTRIC","Spacer film","LPCVD Si₃N₄; SiH₂Cl₂/NH₃; 780 °C; thickness 80 nm"
"ANISOTROPIC ETCH SPACER","Spacer etch","RIE: CF₄ 40 sccm, CHF₃ 20 sccm; pressure 50 mTorr; RF 250 W"
"MEASURE SPACER WIDTH","Spacer metrology","SEM ~60 nm"
"IMPLANT LDD","LDD implant","Phosphorus; 30 keV; dose 5×10¹³ cm⁻²"
"PRE ANNEAL CHECK","Inspection","Particle scan"
"RAPID THERMAL ANNEAL","Dopant activation","1000 °C, 8 s"
"MEASURE JUNCTION PROFILE","Dopant profile","SIMS depth profile ~120 nm"
"DEPOSIT INTERLAYER DIELECTRIC","ILD deposition","PECVD SiO₂; SiH₄ 100 sccm, N₂O 900 sccm; 350 °C; pressure 900 mTorr; thickness 800 nm"
"DENSIFY DIELECTRIC","Densification","Furnace 900 °C, N₂, 30 min"
"MEASURE FILM THICKNESS","Thickness metrology","Reflectometry ±3%"
"CMP DIELECTRIC","Planarization","Oxide slurry; platen 60 rpm; downforce 3 psi; removal ~200 nm/min"
"MEASURE PLANARITY","Planarity check","AFM / optical profilometer; <50 nm topography"
"SPIN COAT PHOTORESIST","Via litho resist","Spin 3000 rpm"
"SOFT BAKE","Resist bake","95 °C"
"ALIGN MASK LEVEL 3","Via alignment","Overlay ±80 nm"
"EXPOSE LITHO LEVEL 3","Via exposure","Dose 120 mJ/cm²"
"DEVELOP PHOTORESIST","Develop resist","0.26 N TMAH"
"VIA INSPECTION","Inspect vias","SEM target ~250 nm"
"VIA ETCH","Dielectric etch","ICP: C₄F₈ 30 sccm, Ar 50 sccm, pressure 15 mTorr, ICP 900 W"
"STRIP PHOTORESIST","Strip resist","O₂ plasma 400 W"
"CLEAN AFTER VIA ETCH","Clean residues","HF 100:1, 20 s"
"MEASURE VIA CD","Via CD","CD‑SEM ±15 nm"
"DEPOSIT BARRIER METAL","Barrier deposition","PVD Ti 20 nm + TiN 30 nm; pressure 3 mTorr"
"DEPOSIT METAL SEED","Cu seed layer","PVD Cu 100 nm"
"FILL VIA METAL","Copper fill","Electroplate Cu; current density 2 mA/cm²"
"CMP METAL","Cu CMP","Slurry with H₂O₂; platen 70 rpm; 3 psi"
"MEASURE CONTACT RESISTANCE","Electrical metrology","Kelvin structures; <10 Ω"
"DEPOSIT METAL 1","Metal layer","PVD Al‑0.5%Cu; thickness 600 nm"
