"STEP","DESCRIPTION"
"RECEIVE WAFER LOT","Receive the incoming wafer lot, verify lot ID, process traveler, and planned product type."
"LOT IDENTIFICATION","Check lot numbering, wafer count, and route version against the manufacturing order."
"INITIAL WAFER INSPECTION","Inspect wafers for visible defects, contamination, edge chips, and handling damage."
"MEASURE THICKNESS","Measure starting wafer thickness across center and edge points to confirm incoming spec."
"MEASURE SURFACE PARTICLES","Count particles on the wafer surface using optical inspection or laser scattering."
"PRE CLEAN WAFER","Perform pre-clean to remove organic residues and loose particles before wet processing."
"RCA CLEAN 1","Apply standard alkaline clean to remove organic contamination; monitor temperature and time."
"RCA CLEAN 2","Apply acidic clean to remove metallic contamination and residues from prior steps."
"HF DIP","Perform dilute HF dip to strip native oxide and prepare a hydrogen-terminated surface."
"DRY WAFER","Dry wafers using spin/rinse/dry or N2 drying to minimize water marks and residue."
"SUBSTRATE CHECK","Verify substrate type, crystal orientation, resistivity, and batch conformance."
"EPITAXY PREP","Prepare the substrate for epitaxial growth by final clean and surface conditioning."
"EPITAXIAL DEPOSITION","Grow the epitaxial silicon layer; typical parameters include temperature, gas flow, and deposition rate."
"MEASURE EPITAXY THICKNESS","Measure epitaxial layer thickness and uniformity across wafer locations."
"MEASURE RESISTIVITY","Measure film resistivity or sheet resistance to confirm doping level and material quality."
"EPITAXY ANNEAL","Anneal the epitaxial layer to reduce defects and improve crystal quality."
"WAFER SURFACE CLEAN","Remove particles and residues before thermal oxidation and lithography."
"THERMAL OXIDATION","Grow silicon oxide thermally; track time, temperature, and target oxide thickness."
"MEASURE OXIDE THICKNESS","Verify oxide thickness and uniformity using ellipsometry or similar metrology."
"SPIN COAT PHOTORESIST","Coat photoresist on wafer surface; record spin speed, resist thickness, and coating uniformity."
"SOFT BAKE","Soft bake the resist to remove solvent and stabilize the film for exposure."
"ALIGN MASK LEVEL 1","Align the first mask to the wafer; monitor overlay error and alignment marks."
"EXPOSE LITHO LEVEL 1","Expose resist using the first lithography mask; parameters include dose and focus."
