"STEP","DESCRIPTION","REALISTIC FAB‑LEVEL PARAMETERS"
"RECEIVE WAFER LOT","Receive wafer lot","200 mm N+ Si <100>, thickness 725 µm ±10 µm, resistivity 0.01–0.02 Ω·cm"
"LOT IDENTIFICATION","Verify lot data","MES traveler verification, FOUP scan"
"INITIAL WAFER INSPECTION","Inspect wafers","Optical inspection ≥0.3 µm particles"
"MEASURE THICKNESS","Wafer thickness","725 µm ±10 µm"
"MEASURE SURFACE PARTICLES","Particle scan","Laser scatter tool <30 particles ≥0.2 µm"
"PRE CLEAN WAFER","Pre-clean","Megasonic DI clean 2 min"
"RCA CLEAN 1","Organic clean","NH₄OH:H₂O₂:H₂O (1:1:5) 75 °C 10 min"
"RCA CLEAN 2","Metallic clean","HCl:H₂O₂:H₂O (1:1:6) 75 °C 10 min"
"HF DIP","Remove oxide","1% HF 30 s"
"DRY WAFER","Dry wafers","Spin rinse dry 1500 rpm N₂"
"SUBSTRATE CHECK","Verify substrate","Orientation <100>, resistivity check"
"EPITAXY PREP","Surface prep","HF last clean 0.5% 20 s"
"EPITAXIAL DEPOSITION","Grow N− drift epi","RPCVD epi reactor; SiHCl₃ 40 sccm, H₂ 12 slm; 1100 °C; 40 Torr; thickness 60–120 µm"
"MEASURE EPITAXY THICKNESS","Measure epi","Infrared reflectometry ±3%"
"MEASURE RESISTIVITY","Measure doping","4‑point probe; 40–80 Ω·cm drift layer"
"EPITAXY ANNEAL","Defect reduction","Furnace 1100 °C N₂ 45 min"
"THERMAL OXIDATION","Mask oxide","Wet oxidation 1000 °C; thickness 200 nm"
"MEASURE OXIDE THICKNESS","Oxide metrology","Ellipsometer ±5 nm"
"SPIN COAT PHOTORESIST","Coat resist","3000 rpm; thickness 1.5 µm"
"SOFT BAKE","Resist bake","95 °C 60 s"
"ALIGN MASK LEVEL 1","Align mask","Stepper overlay ±150 nm"
"EXPOSE LITHO LEVEL 1","Exposure","365 nm i‑line; 150 mJ/cm²"
"DEVELOP PHOTORESIST","Develop resist","TMAH 0.26 N 60 s"
"PATTERN INSPECTION LEVEL 1","Pattern check","CD‑SEM target 1.5 µm"
"OXIDE ETCH","Etch oxide","RIE CHF₃ 40 sccm, CF₄ 20 sccm; 100 mTorr; 300 W"
"STRIP PHOTORESIST","Resist strip","O₂ plasma ash 400 W"
"CLEAN AFTER ETCH","Clean residues","SPM clean 120 °C 10 min"
"MEASURE OPENING CD","CD metrology","CD‑SEM ±0.1 µm"
"IMPLANT P BODY","P‑body implant","Boron; 80 keV; dose 5×10¹³ cm⁻²"
"PRE ANNEAL CHECK","Inspection","Particle scan"
"DRIVE IN DIFFUSION","Diffusion drive","Furnace 1150 °C N₂/O₂ 4 hr"
"RAPID THERMAL ANNEAL","Activation","RTA 1050 °C 15 s"
"MEASURE JUNCTION DEPTH","Junction depth","Spreading resistance; ~5 µm"
"IMPLANT N BUFFER","Buffer implant","Phosphorus; 120 keV; dose 2×10¹³ cm⁻²"
"PRE ANNEAL CHECK","Inspection","Optical scan"
"RAPID THERMAL ANNEAL","Activation","1050 °C 10 s"
"MEASURE SHEET RESISTANCE","Rs measurement","4‑point probe 200–400 Ω/□"
"DEPOSIT FIELD OXIDE","Field oxide deposition","PECVD SiO₂; SiH₄ 100 sccm, N₂O 900 sccm; 350 °C; thickness 800 nm"
"DENSIFY OXIDE","Densification","Furnace 900 °C 30 min"
"MEASURE FILM THICKNESS","Thickness check","Reflectometry ±3%"
"SPIN COAT PHOTORESIST","Coat resist","3000 rpm"
"SOFT BAKE","Bake resist","95 °C 60 s"
"ALIGN MASK LEVEL 2","Alignment","Overlay ±150 nm"
"EXPOSE LITHO LEVEL 2","Exposure","Dose 140 mJ/cm²"
"DEVELOP PHOTORESIST","Develop","TMAH"
"FIELD PATTERN INSPECTION","Inspection","Optical + SEM"
"FIELD OXIDE ETCH","Oxide etch","RIE CF₄/CHF₃ plasma"
"STRIP PHOTORESIST","Strip resist","O₂ plasma"
"CLEAN AFTER FIELD ETCH","Clean","DI + SPM"
"MEASURE SURFACE UNIFORMITY","Surface check","Profilometer <100 nm variation"
"IMPLANT SOURCE REGION","N+ emitter implant","Arsenic 50 keV; dose 5×10¹⁵ cm⁻²"
